ride_id,rideable_type,started_at,ended_at,start_station_name,cleaned_ss_name,start_station_id,end_station_name,cleaned_es_name,end_station_id,s_lat,s_lng,e_lat,e_lng,member_casual
26E28E8DBA649C28,electric_bike,2024-08-04 07:22:03 UTC,2024-08-04 07:33:17 UTC,,,,,,,41.92,-87.81,41.93,-87.86,member
9654AC0E90E02368,electric_bike,2024-03-06 15:11:20 UTC,2024-03-06 17:41:42 UTC,,,,,,,41.94,-87.82,41.94,-87.86,casual
C4C59BD3BF68B71E,electric_bike,2024-06-26 20:28:27 UTC,2024-06-27 02:39:29 UTC,,,,,,,41.89,-87.77,41.86,-87.85,member
3430354A71393383,electric_bike,2024-01-07 18:08:35 UTC,2024-01-07 18:21:51 UTC,,,,Public Rack - N. Oakview and W. Gregory St,N. Oakview and W. Gregory St,1180,41.97,-87.84,41.9801,-87.844,casual
AF1E648FC7B4D879,electric_bike,2024-09-01 13:26:49 UTC,2024-09-01 13:43:52 UTC,,,,Public Rack - Delphina & Foster,Delphina & Foster,1181,41.97,-87.85,41.9736,-87.8411,casual
4B11458C4B492783,electric_bike,2024-03-21 15:35:21 UTC,2024-03-21 15:39:14 UTC,,,,Public Rack - Delphina & Foster,Delphina & Foster,1181,41.98,-87.84,41.9736,-87.8411,casual
C40AC5FDF2F39C90,electric_bike,2024-08-20 22:00:12 UTC,2024-08-20 22:12:07 UTC,,,,,,,41.98,-87.81,41.98,-87.84,member
578AB72DAA395AEC,electric_bike,2024-11-04 15:19:33 UTC,2024-11-04 15:19:46 UTC,,,,,,,41.98,-87.84,41.98,-87.84,casual
7795FE1D73D32AD4,electric_bike,2024-07-13 18:50:56 UTC,2024-07-13 18:51:30 UTC,,,,,,,41.98,-87.84,41.98,-87.84,casual
A49D15AD40EB9746,electric_bike,2024-08-22 17:27:33 UTC,2024-08-22 17:30:57 UTC,,,,,,,41.98,-87.84,41.98,-87.84,casual
B06060A971C5C9E6,electric_bike,2024-08-13 22:39:13 UTC,2024-08-13 22:40:25 UTC,,,,,,,41.98,-87.84,41.98,-87.84,casual
594C2CD5C3E51B01,electric_bike,2024-06-23 13:38:36 UTC,2024-06-23 13:38:38 UTC,,,,,,,41.94,-87.84,41.94,-87.84,casual
EFEFBE67801E019D,electric_bike,2024-08-05 00:34:50 UTC,2024-08-05 00:35:10 UTC,,,,,,,41.96,-87.84,41.96,-87.84,casual
D89F823436896E16,electric_bike,2024-09-05 23:16:49 UTC,2024-09-05 23:25:28 UTC,,,,,,,41.98,-87.84,41.98,-87.84,casual
7340405B864282CF,electric_bike,2024-05-22 19:58:20 UTC,2024-05-22 20:20:51 UTC,,,,Public Rack - Cumberland & Catherine,Cumberland & Catherine,1182,41.98,-87.78,41.9774,-87.8367,member
F266B02108AF5606,electric_bike,2024-06-29 01:01:56 UTC,2024-06-29 01:16:13 UTC,,,,,,,41.98,-87.84,41.94,-87.83,casual
